"id","active","applicable_type","base_code_id/id","amount","domain","ref_base_code_id/id","account_paid_id/id","ref_tax_code_id/id","include_base_amount","account_analytic_paid_id/id","account_analytic_collected_id/id","sequence","price_include","python_applicable","python_compute","python_compute_inv","account_collected_id/id","type_tax_use","name","ref_tax_sign","tax_sign","type","child_depend","base_sign","ref_base_sign","tax_code_id/id","description","child_ids/id","company_id/id","parent_id/id"
"__export__.account_tax_14","True","Always","__export__.account_tax_code_37","0.08","","__export__.account_tax_code_37","2200","__export__.account_tax_code_36","False","","","1","False","","","","2200","Sale","8.0%","-1.0","1.0","Percentage","False","1.0","-1.0","__export__.account_tax_code_36","8.0%","","base.main_company",""
"__export__.account_tax_24","True","Always","__export__.account_tax_code_37","0.08","","__export__.account_tax_code_37","2200","__export__.account_tax_code_36","False","","","1","True","","","","2200","Sale","8.0% inkl.","-1.0","1.0","Percentage","False","1.0","-1.0","__export__.account_tax_code_36","8.0% inkl.","","base.main_company",""
