"id","close_method","note","report_type","name","code"
"__export__.account_account_type_50","None","","/","Abschluss","ab"
"__export__.account_account_type_55","None","","/","Aufwand","au"
"__export__.account_account_type_51","Balance","","/","Bilanz Allgemein","bil"
"__export__.account_account_type_52","Balance","","/","Bilanz Aktiven","bil_act"
"__export__.account_account_type_53","Balance","","/","Bilanz Passiven","bil_pas"
"__export__.account_account_type_54","Unreconciled","","/","Debitoren","deb"
"__export__.account_account_type_56","None","","/","Ertrag","er"
"__export__.account_account_type_57","Unreconciled","","/","Kreditoren","kre"
"__export__.account_account_type_58","None","","/","Ansicht","view"
